Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-08-20 09:57:38 +0530,"Success",0:00:03,0,0,0,"20200820_095738.907/LogFile.txt","","",1
2020-08-20 09:58:04 +0530,"Success",0:00:03,0,0,0,"20200820_095804.946/LogFile.txt","","",1
2020-08-20 09:58:19 +0530,"Success",0:00:03,0,0,0,"20200820_095819.355/LogFile.txt","","",1
2020-08-20 09:58:36 +0530,"Success",0:00:03,0,0,0,"20200820_095836.533/LogFile.txt","","",1
2020-08-20 11:23:14 +0530,"Success",0:00:06,0,0,0,"20200820_112314.477/LogFile.txt","","",1
2020-08-20 11:28:09 +0530,"Success",0:00:03,0,0,0,"20200820_112809.353/LogFile.txt","","",1
2020-08-20 11:28:32 +0530,"Success",0:00:04,0,0,0,"20200820_112832.032/LogFile.txt","","",1
2020-08-20 11:29:14 +0530,"Success",0:00:06,0,0,0,"20200820_112914.679/LogFile.txt","","",1
2020-08-20 11:30:45 +0530,"Success",0:00:05,0,0,0,"20200820_113045.356/LogFile.txt","","",1
2020-08-20 14:02:04 +0530,"Success",0:00:06,0,0,0,"20200820_140204.514/LogFile.txt","","",1
